Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,230207,2/7/2023,043607,CBT ,00,043 ,1464476,62657,42438,623,712128,583275,202883,185613,340758,13768,149386,32995,69,1327127,1216809,137349,247667,4547,7284,8835,-108,6551,3370,6091,915,140,-863,-111,-7726,-149,19610,9590,-15063,-5043,100,4.3,2.9,0,48.6,39.8,13.9,12.7,23.3,0.9,10.2,2.3,0,90.6,83.1,9.4,16.9,147,7,8,,37,53,56,11,20,13,6,5,,101,118,36.3,31.5,52.4,43.8,36.2,28.9,50.2,39.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,230131,1/31/2023,043607,CBT ,00,043 ,1459929,55373,33603,731,705577,579905,196792,184698,340618,14631,149497,40721,218,1307517,1207219,152412,252710,-21922,6108,-1253,-36,-8820,-35006,1292,-12016,6592,-5390,-475,5024,218,-19119,-28559,-2803,6637,100,3.8,2.3,0,48.3,39.7,13.5,12.7,23.3,1,10.2,2.8,0,89.6,82.7,10.4,17.3,147,5,7,5,39,53,58,12,18,12,6,7,,104,119,35.6,33.3,51.7,45,35.4,30.8,49.5,41.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,230124,1/24/2023,043607,CBT ,00,043 ,1481851,49265,34856,767,714397,614911,195500,196714,334026,20021,149972,35697,0,1326636,1235778,155215,246073,-21838,2306,-1749,-4071,-19652,2326,-8438,4831,-4588,-61,-967,-2010,-4,-26056,-18595,4218,-3243,100,3.3,2.4,0.1,48.2,41.5,13.2,13.3,22.5,1.4,10.1,2.4,0,89.5,83.4,10.5,16.6,147,5,7,4,38,55,56,13,17,12,5,7,0,103,116,34.8,32,50.8,43.9,34.6,29.4,48.7,40.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,230117,1/17/2023,043607,CBT ,00,043 ,1503689,46959,36605,4838,734049,612585,203938,191883,338614,20082,150939,37707,4,1352692,1254373,150997,249316,55437,553,3948,1953,30569,22850,3418,2506,8786,6130,2230,-2927,2,47361,44160,8076,11277,100,3.1,2.4,0.3,48.8,40.7,13.6,12.8,22.5,1.3,10,2.5,0,90,83.4,10,16.6,156,5,8,4,40,52,56,20,19,14,5,7,,112,119,33.9,32.4,49.6,43.8,33.6,29.7,47.4,40,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,230110,1/10/2023,043607,CBT ,00,043 ,1448252,46406,32657,2885,703480,589735,200520,189377,329828,13952,148709,40634,2,1305331,1210213,142921,238039,25728,4366,-1984,-3450,32874,13421,-9591,20153,39831,-4769,-1870,1768,2,37715,35228,-11987,-9500,100,3.2,2.3,0.2,48.6,40.7,13.8,13.1,22.8,1,10.3,2.8,0,90.1,83.6,9.9,16.4,151,4,8,,40,52,54,18,17,14,4,8,,106,117,35.4,31.9,50.1,44.1,35.2,29.2,48.2,40.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,230103,1/3/2023,043607,CBT ,00,043 ,1422524,42040,34641,6335,670606,576314,210111,169224,289997,18721,150579,38866,0,1267616,1174985,154908,247539,-4219,-855,498,952,6120,-3250,876,-23707,3861,2597,7086,-14828,0,-6931,-9294,2712,5075,100,3,2.4,0.4,47.1,40.5,14.8,11.9,20.4,1.3,10.6,2.7,0,89.1,82.6,10.9,17.4,140,4,8,,39,45,52,12,23,12,4,5,0,94,113,35.5,29.6,50.2,43,35.2,26.5,48.1,38.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
MICRO 10 YEAR YIELD - CHICAGO BOARD OF TRADE,230221,2/21/2023,04360Y,CBT ,00,043 ,5260,0,0,0,0,0,0,0,788,2749,1342,886,0,4091,4423,1169,837,-541,0,0,0,0,0,0,-236,-1015,-186,-141,598,0,-563,-603,22,62,100,0,0,0,0,0,0,0,15,52.3,25.5,16.8,0,77.8,84.1,22.2,15.9,30,0,0,0,0,0,0,0,4,,8,18,0,9,22,72.2,69.2,77.1,75.2,21.4,17,25.5,22.9,1000 x Index Points,F30,FutOnly
MICRO 10 YEAR YIELD - CHICAGO BOARD OF TRADE,230214,2/14/2023,04360Y,CBT ,00,043 ,5801,0,0,0,0,0,0,236,1803,2935,1483,288,0,4654,5026,1147,775,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,4.1,31.1,50.6,25.6,5,0,80.2,86.6,19.8,13.4,20,0,0,0,0,0,0,,,,10,6,0,12,9,70.6,83.6,76.9,86.2,21.9,33,27.6,35.6,1000 x Index Points,F30,FutOnly
MICRO 10 YEAR YIELD - CHICAGO BOARD OF TRADE,230117,1/17/2023,04360Y,CBT ,00,043 ,2399,0,0,0,0,0,0,219,1758,24,958,192,0,1201,1974,1198,425,425,0,0,0,0,0,0,139,430,24,60,50,0,223,504,202,-79,100,0,0,0,0,0,0,9.1,73.3,1,39.9,8,0,50.1,82.3,49.9,17.7,20,0,0,0,0,0,0,,,,14,4,0,15,6,26.4,80.1,40.4,82.3,25.4,80.1,39.3,81.3,1000 x Index Points,F30,FutOnly
MICRO 10 YEAR YIELD - CHICAGO BOARD OF TRADE,230110,1/10/2023,04360Y,CBT ,00,043 ,1974,0,0,0,0,0,0,80,1328,0,898,142,0,978,1470,996,504,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,4.1,67.3,0,45.5,7.2,0,49.5,74.5,50.5,25.5,20,0,0,0,0,0,0,,,0,14,4,0,15,5,23.8,73,38,74.5,23.8,73,38,74.5,1000 x Index Points,F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230228,2/28/2023,044601,CBT ,00,044 ,4182168,34411,467812,16638,1972778,688930,719060,569282,1531820,101072,438369,272839,574,3852184,3798745,329984,383423,-205683,-5424,19258,-35544,22135,-39223,-37044,-12535,8223,-48247,-8855,-14244,-8597,-134111,-155418,-71572,-50265,100,0.8,11.2,0.4,47.2,16.5,17.2,13.6,36.6,2.4,10.5,6.5,0,92.1,90.8,7.9,9.2,363,14,34,14,112,46,90,41,75,34,22,19,,240,262,33.1,20,42.8,30.9,29.5,19,37.4,28.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230221,2/21/2023,044601,CBT ,00,044 ,4387851,39835,448554,52182,1950643,728153,756104,581817,1523597,149319,447224,287083,9171,3986295,3954163,401556,433688,95387,14796,-7604,9286,-14987,-8465,73252,-30271,-26437,-20852,-20534,-13413,8552,19242,14319,76145,81068,100,0.9,10.2,1.2,44.5,16.6,17.2,13.3,34.7,3.4,10.2,6.5,0.2,90.8,90.1,9.2,9.9,361,15,36,18,108,48,96,47,66,50,20,21,,249,279,30.7,18.6,39.7,28.8,26.7,17.6,34.3,26,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230214,2/14/2023,044601,CBT ,00,044 ,4292464,25039,456158,42896,1965630,736618,682852,612088,1550034,170171,467758,300496,619,3967053,3939844,325411,352620,51188,4944,-50151,-145,22399,41136,-2986,-16692,-45789,42541,-4827,3540,46,45280,-11808,5908,62996,100,0.6,10.6,1,45.8,17.2,15.9,14.3,36.1,4,10.9,7,0,92.4,91.8,7.6,8.2,369,10,38,17,111,48,94,47,73,52,22,20,,254,279,31.8,18.2,41,29.1,28,17.2,36,25.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230207,2/7/2023,044601,CBT ,00,044 ,4241276,20095,506309,43041,1943231,695482,685838,628780,1595823,127630,472585,296956,573,3921773,3951652,319503,289624,63357,-19738,-14475,18718,19778,135332,-46771,38308,-23701,37943,35996,-2944,-82,84152,104020,-20795,-40663,100,0.5,11.9,1,45.8,16.4,16.2,14.8,37.6,3,11.1,7,0,92.5,93.2,7.5,6.8,365,9,39,18,107,50,94,48,70,48,23,19,,255,271,33.3,18.3,42.9,29.4,29.4,17.1,38.1,26.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230131,1/31/2023,044601,CBT ,00,044 ,4177919,39833,520784,24323,1923453,560150,732609,590472,1619524,89687,436589,299900,655,3837621,3847632,340298,330287,15291,-4354,-39764,8576,21551,-55650,18645,-40401,103533,-4544,30039,3810,-90,29422,34516,-14131,-19225,100,1,12.5,0.6,46,13.4,17.5,14.1,38.8,2.1,10.4,7.2,0,91.9,92.1,8.1,7.9,354,11,38,16,106,48,91,47,63,47,23,18,,246,263,33.3,18.1,43.7,29.3,29.4,17.4,38.1,26.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230124,1/24/2023,044601,CBT ,00,044 ,4162628,44187,560548,15747,1901902,615800,713964,630873,1515991,94231,406550,296090,745,3808199,3813116,354429,349512,3236,5301,-9105,5500,-26218,53312,-21729,13163,-31611,-3591,18165,11650,0,-9409,4426,12645,-1190,100,1.1,13.5,0.4,45.7,14.8,17.2,15.2,36.4,2.3,9.8,7.1,0,91.5,91.6,8.5,8.4,352,13,35,14,105,48,88,53,57,43,22,19,,245,253,33.1,18,43.5,29.3,29,17.7,37.5,27.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230117,1/17/2023,044601,CBT ,00,044 ,4159392,38886,569653,10247,1928120,562488,735693,617710,1547602,97822,388385,284440,745,3817608,3808690,341784,350702,64064,17520,-13038,664,49532,-13221,12466,-23847,59131,-1742,-6244,29664,51,48400,73975,15664,-9911,100,0.9,13.7,0.2,46.4,13.5,17.7,14.9,37.2,2.4,9.3,6.8,0,91.8,91.6,8.2,8.4,360,11,40,8,104,51,84,53,62,33,19,20,,227,259,34,18,44.7,29.2,29.5,17.2,38.1,27,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230110,1/10/2023,044601,CBT ,00,044 ,4095328,21366,582691,9583,1878588,575709,723227,641557,1488471,99564,394629,254776,694,3769208,3734715,326120,360613,-117934,-13773,40945,3407,-38864,-77684,2994,-33917,-99773,29997,-77153,-5549,372,-126937,-105291,9003,-12643,100,0.5,14.2,0.2,45.9,14.1,17.7,15.7,36.3,2.4,9.6,6.2,0,92,91.2,8,8.8,351,10,36,6,101,51,86,55,59,30,21,18,,229,245,34.7,19.4,45.9,30.6,30,18.7,39.3,28.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
UST 5Y NOTE - CHICAGO BOARD OF TRADE,230103,1/3/2023,044601,CBT ,00,044 ,4213262,35139,541746,6176,1917452,653393,720233,675474,1588244,69567,471782,260325,322,3896145,3840006,317117,373256,78690,4416,4343,1336,46398,45073,-16261,13615,49564,-9740,31682,9693,13,71459,84021,7231,-5331,100,0.8,12.9,0.1,45.5,15.5,17.1,16,37.7,1.7,11.2,6.2,0,92.5,91.1,7.5,8.9,342,8,35,5,99,53,86,39,70,27,17,21,,208,253,35.6,19.1,47,29.3,31,18.2,40.4,27.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230228,2/28/2023,045601,CBT ,00,045 ,2008904,381209,227407,684038,11553,120630,17693,436122,429735,411239,16063,51455,16645,1974562,1958842,34342,50062,198830,71770,1605,49626,2403,4497,6351,26320,91059,49369,2423,4980,-6849,201413,200638,-2583,-1808,100,19,11.3,34.1,0.6,6,0.9,21.7,21.4,20.5,0.8,2.6,0.8,98.3,97.5,1.7,2.5,150,27,32,58,6,4,,26,42,52,6,,5,131,136,38.1,25.4,50.8,39.7,21.7,13.2,28,19.9,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230221,2/21/2023,045601,CBT ,00,045 ,1810074,309439,225802,634412,9150,116133,11342,409802,338676,361870,13640,46475,23494,1773149,1758204,36925,51870,127125,-60894,49866,23824,0,-3947,1768,166027,57711,-7301,358,278,464,124246,122663,2879,4462,100,17.1,12.5,35,0.5,6.4,0.6,22.6,18.7,20,0.8,2.6,1.3,98,97.1,2,2.9,148,25,37,59,5,4,,24,41,51,6,4,4,128,136,36,24,49.3,37.7,21,11,27.8,17.4,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230214,2/14/2023,045601,CBT ,00,045 ,1682949,370333,175936,610588,9150,120080,9574,243775,280965,369171,13282,46197,23030,1648903,1635541,34046,47408,63032,35779,-25775,-236,0,17310,-2833,25075,31702,936,-20823,13972,20736,58634,55812,4398,7220,100,22,10.5,36.3,0.5,7.1,0.6,14.5,16.7,21.9,0.8,2.7,1.4,98,97.2,2,2.8,142,29,30,56,5,5,,20,42,47,5,4,4,122,129,31,23.6,45.6,37.8,16,11.4,22.3,17.4,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230207,2/7/2023,045601,CBT ,00,045 ,1619917,334554,201711,610824,9150,102770,12407,218700,249263,368235,34105,32225,2294,1590269,1579729,29648,40188,-269735,-81081,-28350,-72985,6819,-87038,-8583,-133031,-11573,7496,15511,-45002,769,-265085,-245266,-4650,-24469,100,20.7,12.5,37.7,0.6,6.3,0.8,13.5,15.4,22.7,2.1,2,0.1,98.2,97.5,1.8,2.5,141,25,32,57,5,4,,28,33,49,6,,4,126,127,30.3,25.2,42.8,40.4,13,11.9,19.7,17.3,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230131,1/31/2023,045601,CBT ,00,045 ,1889652,415635,230061,683809,2331,189808,20990,351731,260836,360739,18594,77227,1525,1855354,1824995,34298,64657,91011,39995,7891,27608,-647,-5459,5147,8241,20682,1491,6610,26743,41,88486,84144,2525,6867,100,22,12.2,36.2,0.1,10,1.1,18.6,13.8,19.1,1,4.1,0.1,98.2,96.6,1.8,3.4,142,28,33,59,,5,,29,28,45,5,6,4,122,130,31.9,24.5,47.4,39.3,17.5,14.6,23.3,21.6,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230124,1/24/2023,045601,CBT ,00,045 ,1798641,375640,222170,656201,2978,195267,15843,343490,240154,359248,11984,50484,1484,1766868,1740851,31773,57790,152862,-56585,-53,141808,-173,28367,2561,27264,-74827,40930,-3431,6919,-1199,151175,144506,1687,8356,100,20.9,12.4,36.5,0.2,10.9,0.9,19.1,13.4,20,0.7,2.8,0.1,98.2,96.8,1.8,3.2,141,26,34,56,,6,4,28,28,45,5,4,,121,128,30.2,25.3,46.8,40.6,16.9,15.6,22.8,22.8,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230117,1/17/2023,045601,CBT ,00,045 ,1645779,432225,222223,514393,3151,166900,13282,316226,314981,318318,15415,43565,2683,1615693,1596345,30086,49434,118634,-12171,-18953,73918,-111,9353,-1234,27708,12429,26428,7721,17684,-2580,119679,117045,-1045,1589,100,26.3,13.5,31.3,0.2,10.1,0.8,19.2,19.1,19.3,0.9,2.6,0.2,98.2,97,1.8,3,144,24,34,51,,5,4,21,41,48,5,6,4,118,133,31.6,22.9,45.7,37.4,20.6,16.2,28.3,25.3,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230110,1/10/2023,045601,CBT ,00,045 ,1527145,444396,241176,440475,3262,157547,14516,288518,302552,291890,7694,25881,5263,1496014,1479300,31131,47845,220627,57397,9843,78558,1681,20373,6257,49999,56215,35798,-11965,5006,4663,222388,216713,-1761,3914,100,29.1,15.8,28.8,0.2,10.3,1,18.9,19.8,19.1,0.5,1.7,0.3,98,96.9,2,3.1,141,23,34,48,,7,6,23,37,45,4,5,5,116,129,33.6,23.8,48,38,25.2,17.9,32.2,25.6,"(CONTRACTS OF $5,000,000)",F33,FutOnly
FED FUNDS - CHICAGO BOARD OF TRADE,230103,1/3/2023,045601,CBT ,00,045 ,1306518,386999,231333,361917,1581,137174,8259,238519,246337,256092,19659,20875,600,1273626,1262587,32892,43931,-249959,-32634,-45125,-63131,0,4762,-300,-71854,-85217,-63717,-19446,0,-255,-251337,-252983,1378,3024,100,29.6,17.7,27.7,0.1,10.5,0.6,18.3,18.9,19.6,1.5,1.6,0,97.5,96.6,2.5,3.4,122,24,32,50,,5,5,23,27,41,4,,,109,110,31.3,25,44.4,39.5,21.4,20.4,30.4,29.2,"(CONTRACTS OF $5,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,132741,CME ,00,132 ,5709872,2202171,1106961,994872,126504,58415,128038,665190,1516057,1223282,37129,109265,65569,5442755,5202459,267117,507413,-75562,-80639,-20647,51816,4712,-1861,-6217,-9728,-40432,-44570,5203,-5520,562,-78861,-66869,3299,-8693,100,38.6,19.4,17.4,2.2,1,2.2,11.6,26.6,21.4,0.7,1.9,1.1,95.3,91.1,4.7,8.9,127,26,19,42,5,5,7,25,30,50,5,8,5,109,122,31.6,31,45,42.8,26.5,24.4,33.2,35,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,132741,CME ,00,132 ,5785434,2282810,1127608,943056,121792,60276,134255,674918,1556489,1267852,31926,114785,65007,5521616,5269328,263818,516106,-16453,9631,10427,8618,-1276,-5278,-11595,-19390,-10120,7976,8920,-3370,6308,9192,2966,-25645,-19419,100,39.5,19.5,16.3,2.1,1,2.3,11.7,26.9,21.9,0.6,2,1.1,95.4,91.1,4.6,8.9,132,26,19,42,6,5,8,24,33,55,5,9,5,116,126,31.5,30.9,45,41.9,26.6,25,33.9,34.9,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,132741,CME ,00,132 ,5801887,2273179,1117181,934438,123068,65554,145850,694308,1566609,1259876,23006,118155,58699,5512424,5266362,289463,535525,-18973,40477,4626,-61034,21161,-3518,-26719,-9532,43806,5980,963,3074,4213,-24491,-29572,5518,10599,100,39.2,19.3,16.1,2.1,1.1,2.5,12,27,21.7,0.4,2,1,95,90.8,5,9.2,135,28,18,43,6,5,8,25,35,56,5,8,4,118,128,31,30.6,44.2,41.2,26.2,24.9,33.2,34.5,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,132741,CME ,00,132 ,5820860,2232702,1112555,995472,101907,69072,172569,703840,1522803,1253896,22043,115081,54486,5536915,5295934,283945,524926,-59058,38658,-5593,-45724,-44395,-2943,4017,7427,2268,-29733,9152,-23467,6610,-53988,-94565,-5070,35507,100,38.4,19.1,17.1,1.8,1.2,3,12.1,26.2,21.5,0.4,2,0.9,95.1,91,4.9,9,139,27,21,42,7,5,10,23,38,57,6,7,4,120,132,30.5,30.3,43.2,40.9,25.7,24.5,32.1,33.8,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,132741,CME ,00,132 ,5879918,2194044,1118148,1041196,146302,72015,168552,696413,1520535,1283629,12891,138548,47876,5590903,5390499,289015,489419,-69645,25672,-24311,-8961,-68163,-15029,-10608,-39489,-43344,36736,1857,1056,199,-62757,-64262,-6888,-5383,100,37.3,19,17.7,2.5,1.2,2.9,11.8,25.9,21.8,0.2,2.4,0.8,95.1,91.7,4.9,8.3,138,26,21,42,6,5,9,23,37,56,5,10,,118,130,30.2,29.9,43.3,41.3,25.6,23.7,32.2,33,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,132741,CME ,00,132 ,5949563,2168372,1142459,1050157,214465,87044,179160,735902,1563879,1246893,11034,137492,47677,5653660,5454761,295903,494802,58325,1984,-685,9642,-5389,-3801,20332,55316,47564,-19387,-701,20479,515,62312,74659,-3987,-16334,100,36.4,19.2,17.7,3.6,1.5,3,12.4,26.3,21,0.2,2.3,0.8,95,91.7,5,8.3,135,25,21,42,6,6,12,24,35,54,4,9,4,118,129,29.6,30.1,42.6,41.7,25.3,23.9,32.4,33.4,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,132741,CME ,00,132 ,5891238,2166388,1143144,1040515,219854,90845,158828,680586,1516315,1266280,11735,117013,47162,5591348,5380102,299890,511136,-122751,-93862,-106307,-1465,-14910,-39689,-5459,6233,45710,-7212,-1110,-11340,1738,-116047,-124024,-6704,1273,100,36.8,19.4,17.7,3.7,1.5,2.7,11.6,25.7,21.5,0.2,2,0.8,94.9,91.3,5.1,8.7,135,27,20,44,6,6,7,23,36,55,4,9,4,117,128,30,30.1,42.8,42.6,25.9,24,33.1,33.3,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,132741,CME ,00,132 ,6013989,2260250,1249451,1041980,234764,130534,164287,674353,1470605,1273492,12845,128353,45424,5707395,5504126,306594,509863,1446,30752,5465,-4520,-9372,-11976,5330,-29180,-9629,4868,-76,740,5001,2803,-4721,-1357,6167,100,37.6,20.8,17.3,3.9,2.2,2.7,11.2,24.5,21.2,0.2,2.1,0.8,94.9,91.5,5.1,8.5,138,28,19,45,5,8,7,24,37,56,4,9,5,120,131,29.5,30.3,42.5,43.3,25.8,24.4,33.6,33.6,"(CONTRACTS OF $1,000,000)",F33,FutOnly
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,132741,CME ,00,132 ,6012543,2229498,1243986,1046500,244136,142510,158957,703533,1480234,1268624,12921,127613,40423,5704592,5508847,307951,503696,33440,35480,20230,10871,-5944,-3055,930,30019,37953,-12830,-500,-399,1800,59826,55500,-26386,-22060,100,37.1,20.7,17.4,4.1,2.4,2.6,11.7,24.6,21.1,0.2,2.1,0.7,94.9,91.6,5.1,8.4,139,27,20,45,7,8,7,23,38,55,,9,,118,131,29.2,30.5,42.3,43.8,25.6,24,33.3,33.2,"(CONTRACTS OF $1,000,000)",F33,FutOnly
SOFR-3M - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,134741,CME ,00,134 ,9898052,3128247,2739594,1381600,462374,584042,367488,1628707,1813044,2686228,82459,156549,93655,9830758,9822200,67294,75852,298331,-48807,-79518,80949,90602,2657,7092,44293,150923,92468,-158,-2016,6271,272710,258826,25621,39505,100,31.6,27.7,14,4.7,5.9,3.7,16.5,18.3,27.1,0.8,1.6,0.9,99.3,99.2,0.7,0.8,658,59,90,116,27,45,47,68,145,154,44,104,97,473,599,23.3,23.4,34.3,33.8,22.3,19,30,25,"($2,500 x Contract IMM Index)",F33,FutOnly
SOFR-3M - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,134741,CME ,00,134 ,9599721,3177054,2819112,1300651,371772,581385,360396,1584414,1662121,2593760,82617,158565,87384,9558048,9563374,41673,36347,219317,146646,52619,43241,-17296,13206,-26423,21182,85380,54311,-2897,655,6424,225188,229413,-5871,-10096,100,33.1,29.4,13.5,3.9,6.1,3.8,16.5,17.3,27,0.9,1.7,0.9,99.6,99.6,0.4,0.4,642,64,85,123,22,48,43,71,132,152,47,96,89,468,581,24.7,25,35.7,35.2,22.9,21.4,31,27.1,"($2,500 x Contract IMM Index)",F33,FutOnly
SOFR-3M - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,134741,CME ,00,134 ,9380404,3030408,2766493,1257410,389068,568179,386819,1563232,1576741,2539449,85514,157910,80960,9332860,9333961,47544,46443,106774,197207,-144349,-2328,-174654,92332,-95314,146401,246934,406,3916,-15857,735,76369,82559,30405,24215,100,32.3,29.5,13.4,4.1,6.1,4.1,16.7,16.8,27.1,0.9,1.7,0.9,99.5,99.5,0.5,0.5,652,63,86,122,22,48,43,68,139,158,56,96,81,467,589,26,24.8,36.5,34.9,23.6,21.8,31.5,27.3,"($2,500 x Contract IMM Index)",F33,FutOnly
